trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
50,2019-07-14 13:40:00,2019-07-14 13:45:00,SHORT,10628.01,10635.9810075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000253,-0.0016000000000000254,0.002165974627423237,0.0037429396472152977,10997.679672123748,11228.01273895356,17.875672409240874,21.52325495756527,17.875672409240874,60.493329519954564,Medium,Trending,train,2019-07,3509407d0c39,15-20
51,2019-07-17 13:25:00,2019-07-17 13:30:00,SHORT,9394.8,9401.846099999999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999543,-0.0015999999999999543,0.0073370375101120084,0.0,9909.056614219206,10177.088040892986,22.601421408621487,38.36209742759763,22.601421408621487,87.76167759757539,Low,Trending,train,2019-07,3509407d0c39,
52,2019-07-20 13:15:00,2019-07-20 13:20:00,LONG,10569.4,10590.5388,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000595,0.0011500000000000594,0.0,0.009442352451416456,10414.539078714497,10279.687523937471,59.24884812912683,41.30589875275106,22.142222222222074,59.24884812912683,High,Trending,train,2019-07,3509407d0c39,
53,2019-07-24 13:10:00,2019-07-24 13:15:00,SHORT,9770.08,9750.53984,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000048,0.0011500000000000481,0.0,0.0058853151663036535,9900.36012787274,10037.708190584934,62.01703039496752,71.8252114473139,62.01703039496752,84.82131413679745,High,Trending,train,2019-07,3509407d0c39,
54,2019-07-27 14:00:00,2019-07-27 14:05:00,SHORT,9443.71,9450.792782499999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999648,-0.0015999999999999647,0.002992468002511748,0.0,9584.720505975305,9695.969731899615,28.908239674532854,38.958208657207116,28.908239674532854,80.00366887090082,High,Trending,train,2019-07,3509407d0c39,
55,2019-08-10 13:10:00,2019-08-10 13:20:00,SHORT,11489.59,11466.61082,TP,2,5e-05,0.0008,0.0008500000000000001,0.0020000000000000235,0.0011500000000000234,0.0003594558204426093,0.0021549942165038282,11611.522274872861,11679.92700030917,73.85875234834026,76.24186028815468,73.85875234834026,90.72201145473703,Medium,Trending,train,2019-08,3509407d0c39,
56,2019-08-21 13:40:00,2019-08-21 13:45:00,SHORT,9970.0,9977.4775,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000876,-0.0016000000000000877,0.0009508525576729753,0.0026509528585757563,10290.701271283759,10416.522747226745,54.16865646019631,70.69753025797768,52.38359931245094,81.13439036963935,Medium,Trending,train,2019-08,3509407d0c39,
57,2019-08-26 13:20:00,2019-08-26 13:25:00,LONG,10343.69,10335.9322325,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000001098,-0.00160000000000011,0.0020669606301040554,0.001988652018766969,10231.921254126602,10186.947582267487,48.79263252470769,30.107940535989666,11.562046100017776,48.79263252470769,High,Trending,train,2019-08,3509407d0c39,10-15
58,2019-08-26 13:30:00,2019-08-26 13:35:00,LONG,10357.24,10349.47207,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000749999999999998,-0.0015999999999999981,0.0011817820191479373,0.0013739181480780173,10241.708908557466,10193.700832644216,73.90800760288037,62.663572807685604,11.562046100017776,73.90800760288037,High,Trending,train,2019-08,3509407d0c39,10-15
59,2019-09-02 15:20:00,2019-09-02 15:25:00,LONG,9884.99,9877.576257499999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000818,-0.0016000000000000818,0.0012483573579740745,1.0116348119945776e-06,9814.335641218728,9742.041609608563,35.60996442062236,28.60805188384134,13.540694837850745,35.60996442062236,Low,Trending,train,2019-09,3509407d0c39,10-15
60,2019-09-06 13:05:00,2019-09-06 13:10:00,LONG,10844.66,10836.526505,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000036,-0.0016000000000000038,0.0008907609828247132,2.2130707647799167e-05,10669.21960241743,10574.685783720799,35.91787309206171,22.39373924666222,10.770249710682004,35.91787309206171,Low,Trending,train,2019-09,3509407d0c39,10-15
61,2019-09-06 13:20:00,2019-09-06 13:25:00,LONG,10830.84,10822.71687,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000749999999999995,-0.001599999999999995,0.004890664066683595,0.00017727156896418678,10687.621666363679,10589.669273269175,51.271845118165345,49.18977248273041,20.493094937243054,51.271845118165345,High,Trending,train,2019-09,3509407d0c39,
62,2019-09-11 13:10:00,2019-09-11 13:20:00,SHORT,10077.2,10057.045600000001,TP,2,5e-05,0.0008,0.0008500000000000001,0.0019999999999999445,0.0011499999999999445,0.0002778549597109586,0.005451911245187205,10160.362376395196,10225.79809670877,47.78470662721293,67.23744926422529,47.78470662721293,81.65633789649148,Medium,Trending,train,2019-09,3509407d0c39,
63,2019-09-11 13:25:00,2019-09-11 13:30:00,SHORT,10036.01,10043.537007500001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000761,-0.0016000000000000762,0.0011219598226785564,0.0019370247737896344,10147.520648321675,10215.391428076284,21.936500748355485,25.448390577839433,21.936500748355485,72.27130326897161,High,Trending,train,2019-09,3509407d0c39,
64,2019-09-16 13:35:00,2019-09-16 13:50:00,SHORT,10148.01,10127.71398,TP,3,5e-05,0.0008,0.0008500000000000001,0.0019999999999999775,0.0011499999999999774,0.00033504105731070784,0.002352185305296388,10219.11653843436,10249.194044709555,55.7308826079406,64.92880951004706,55.7308826079406,83.08754485962781,High,Trending,train,2019-09,3509407d0c39,
65,2019-09-25 14:00:00,2019-09-25 14:05:00,SHORT,8393.68,8399.975260000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000929,-0.001600000000000093,0.007119642397613468,0.0,8822.780389647334,9182.581612444132,45.94563176673703,29.465438648462236,18.911150575604132,67.93850105033182,High,Trending,train,2019-09,3509407d0c39,15-20
66,2019-10-01 13:10:00,2019-10-01 13:15:00,LONG,8317.07,8333.70414,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000014,0.0011500000000000139,0.0,0.0032992387944312733,8232.172961515951,8165.441804074342,52.48040138908548,32.413189419578316,15.698370693932517,52.48040138908548,Medium,Trending,train,2019-10,3509407d0c39,15-20
67,2019-10-10 12:50:00,2019-10-10 12:55:00,LONG,8448.54,8465.437080000002,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000076,0.0011500000000000759,0.0,0.002540083848806909,8402.871808969192,8316.561842483918,33.3650582844086,23.947887677532776,13.818433177548842,33.3650582844086,Low,Trending,train,2019-10,3509407d0c39,10-15
68,2019-10-21 14:00:00,2019-10-21 14:55:00,LONG,8236.69,8253.16338,TP,11,5e-05,0.0008,0.0008500000000000001,0.0019999999999999333,0.0011499999999999332,0.0005827583653143546,0.004040457999511798,8144.044223214305,8083.452747131689,58.1232486267182,36.0858033651442,18.678239190462097,58.1232486267182,Medium,Trending,train,2019-10,3509407d0c39,15-20
69,2019-10-26 13:15:00,2019-10-26 13:20:00,LONG,9155.81,9174.12162,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000443,0.0011500000000000442,4.4780308896739284e-05,0.00579741169814576,8449.683926445345,8106.830709109743,30.708738750149763,24.21732796893927,16.861655972548675,38.115223223689746,High,Trending,train,2019-10,3509407d0c39,15-20
70,2019-10-26 13:25:00,2019-10-26 13:30:00,LONG,9156.87,9150.0023475,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000001076,-0.0016000000000001076,0.006100337779175699,0.001385844726418382,8503.163747556815,8147.550591117008,32.86263590266565,32.27570740041545,16.861655972548675,33.2557475484311,High,Trending,train,2019-10,3509407d0c39,15-20
